keyword,sourceType,sourceDetail,market,note,observedAt,evidence
nước hoa nam đi làm,related,Google search results,VN,use-case cluster,2026-03-17,Xuất hiện nhiều bài viết top 10 trên Google VN từ laluz.vn tinhte.vn orchard.vn
nước hoa nam văn phòng,related,Google search results,VN,use-case cluster - synonym đi làm,2026-03-17,Xuất hiện nhiều bài viết top 10 trên Google VN từ laluz.vn orchard.vn tinhte.vn
nước hoa nam mùa hè 2026,related,Google search results,VN,use-case + seasonal,2026-03-17,Bài viết top từ chiaki.vn apaniche.vn orchard.vn nuochoamc.com
nước hoa nam hẹn hò,related,Google search results,VN,use-case cluster,2026-03-17,Bài viết top từ coolmate.me vuahanghieu.com xomthom.vn tinhte.vn
nước hoa nam dưới 1 triệu,related,Google search results,VN,budget cluster,2026-03-17,Bài viết top từ coolmate.me apaniche.vn orchard.vn tienperfume.vn
nước hoa thật giả cách phân biệt,related,Google search results,VN,trust cluster,2026-03-17,Bài viết top từ armafvietnam.vn orchard.vn lvperfume.vn vuahanghieu.com
nước hoa EDT hay EDP,related,Google search results,VN,educational cluster,2026-03-17,Bài viết top từ codedeco.art armafvietnam.vn orchard.vn
cách xịt nước hoa cho thơm lâu,related,Google search results,VN,educational practical,2026-03-17,Bài viết top từ elle.vn vuahanghieu.com kenh14.vn suckhoedoisong.vn
cách xịt nước hoa mùa nóng,related,Google search results,VN,educational + seasonal,2026-03-17,Xuất hiện trong kết quả Google VN liên quan đến giữ mùi mùa hè
dior sauvage vs bleu de chanel,related,Google search results,VN,comparison cluster,2026-03-17,Bài viết so sánh chi tiết từ vuahanghieu.com nuochoamc.com tinhte.vn dnaperfumo.com
bleu de chanel edp review,related,Google search results,VN,product + review intent,2026-03-17,Bài viết review từ missi.vn nuochoamc.com mfparis.vn youtube.com
bleu de chanel có nên mua,related,Google search results,VN,product + buying hesitation,2026-03-17,Xuất hiện trong kết quả Google VN kết hợp review và buying decision
nước hoa nam tặng bạn gái,related,Google search results,VN,gift cluster,2026-03-17,Bài viết từ coolmate.me vuahanghieu.com afamily.vn fanmen.vn
nước hoa quà tặng nam,related,Google search results,VN,gift cluster - variant,2026-03-17,Xuất hiện trong kết quả liên quan khi tìm nước hoa tặng
nước hoa nam đi học,autocomplete,Google autocomplete observed,VN,use-case cluster - student,2026-03-17,Gợi ý xuất hiện khi gõ nước hoa nam đi trên Google VN
nước hoa nam giá rẻ,autocomplete,Google autocomplete observed,VN,budget cluster,2026-03-17,Gợi ý phổ biến khi gõ nước hoa nam trên Google VN
nước hoa nam được phái nữ thích,autocomplete,Google autocomplete observed,VN,attraction/appeal cluster,2026-03-17,Gợi ý xuất hiện khi gõ nước hoa nam được trên Google VN
